2024-Storm,Date,Storm-Tide,Obs,Guidance,"Cat, Pres, Dead, $bn",Area
2024-Helene,Sep 23-29 ,Obs w4: >9.3 mhhw,(FEV),Warn-A6 (1-8),"(Cat4, 938, 221+, $27.5+)","N.W. FL, GA, AL,"
,,Fcst w6: 15-20 mhhw,,,,"TN, KY, VA, WV"
,,,,,,
2024-Francine,12-Sep,w2: 5 mhhw,,Warn-A5 (1-15),"(Cat2, 972, 0, $1.5)","LA, MS"
,,,,,,
2024-Gilma-cp,30-Aug,w1: 3 mhhw,,"PS-Adv 43,46","(Cat4, 949, -, -)",HI
,,,,,,
2024-Hone-cp,25-Aug,w1: 3 mhhw,,"PS-Adv 2-7,","(Cat1, 988, -, -)",HI
,,,,"9-11,13,14",,
,,,,,,
2024-Post-,22-Aug,w3: 6.3 mhhw,,P-ETSS,"(Cat4, 947, -, -)",AK
Typhoon Ampil,,,,,,
,,,,,,
2024-Debby,"Aug 5,6",w2: 5.1 mhhw,(FEV),Warn-A5 (6-20),"(Cat1, 979, 10, >$1)","N.W. FL, GA, SC, NC"
,,,,,,
2024-Beryl,8-Jul,w3: 8 mhhw,,Warn-A33 (29-41),"(Cat5, 934, 70, >$6.86)","TX, LA"
,,,,,,
2024-Alberto,"Jun 19,20",w1: 3 mhhw,,,"(TS, 993, 5, $0.179)","TX, LA"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
